codigo,provincia,componente,hogares_afectados,pct_total_hogares,pct_hogares_nbi,hogares,hogares_nbi
1,Azuay,Capacidad economica,9074,3.68,14.94,246867,60751
1,Azuay,Acceso a educacion basica,2677,1.08,4.41,246867,60751
1,Azuay,Acceso a vivienda,13060,5.29,21.5,246867,60751
1,Azuay,Acceso a servicios basicos,44927,18.2,73.95,246867,60751
1,Azuay,Hacinamiento,11880,4.81,19.56,246867,60751
2,Bolivar,Capacidad economica,4754,7.5,13.14,63428,36179
2,Bolivar,Acceso a educacion basica,401,0.63,1.11,63428,36179
2,Bolivar,Acceso a vivienda,9575,15.1,26.47,63428,36179
2,Bolivar,Acceso a servicios basicos,33587,52.95,92.84,63428,36179
2,Bolivar,Hacinamiento,5451,8.59,15.07,63428,36179
3,Canar,Capacidad economica,5000,7.18,18.74,69671,26678
3,Canar,Acceso a educacion basica,604,0.87,2.26,69671,26678
3,Canar,Acceso a vivienda,4643,6.66,17.4,69671,26678
3,Canar,Acceso a servicios basicos,20974,30.1,78.62,69671,26678
3,Canar,Hacinamiento,4375,6.28,16.4,69671,26678
4,Carchi,Capacidad economica,1975,3.68,11.23,53716,17582
4,Carchi,Acceso a educacion basica,499,0.93,2.84,53716,17582
4,Carchi,Acceso a vivienda,3767,7.01,21.43,53716,17582
4,Carchi,Acceso a servicios basicos,13444,25.03,76.46,53716,17582
4,Carchi,Hacinamiento,3983,7.41,22.65,53716,17582
5,Cotopaxi,Capacidad economica,8713,6.25,13.08,139362,66618
5,Cotopaxi,Acceso a educacion basica,880,0.63,1.32,139362,66618
5,Cotopaxi,Acceso a vivienda,13348,9.58,20.04,139362,66618
5,Cotopaxi,Acceso a servicios basicos,59340,42.58,89.08,139362,66618
5,Cotopaxi,Hacinamiento,11642,8.35,17.48,139362,66618
6,Chimborazo,Capacidad economica,7962,5.33,12.67,149395,62846
6,Chimborazo,Acceso a educacion basica,826,0.55,1.31,149395,62846
6,Chimborazo,Acceso a vivienda,19586,13.11,31.17,149395,62846
6,Chimborazo,Acceso a servicios basicos,56357,37.72,89.67,149395,62846
6,Chimborazo,Hacinamiento,8046,5.39,12.8,149395,62846
7,El Oro,Capacidad economica,6515,2.94,8.64,221627,75387
7,El Oro,Acceso a educacion basica,3241,1.46,4.3,221627,75387
7,El Oro,Acceso a vivienda,14985,6.76,19.88,221627,75387
7,El Oro,Acceso a servicios basicos,55008,24.82,72.97,221627,75387
7,El Oro,Hacinamiento,19717,8.9,26.15,221627,75387
8,Esmeraldas,Capacidad economica,12455,7.47,12.29,166694,101320
8,Esmeraldas,Acceso a educacion basica,3224,1.93,3.18,166694,101320
8,Esmeraldas,Acceso a vivienda,10431,6.26,10.3,166694,101320
8,Esmeraldas,Acceso a servicios basicos,90446,54.26,89.27,166694,101320
8,Esmeraldas,Hacinamiento,20509,12.3,20.24,166694,101320
9,Guayas,Capacidad economica,44327,3.36,9.48,1319163,467718
9,Guayas,Acceso a educacion basica,30383,2.3,6.5,1319163,467718
9,Guayas,Acceso a vivienda,96746,7.33,20.68,1319163,467718
9,Guayas,Acceso a servicios basicos,319403,24.21,68.29,1319163,467718
9,Guayas,Hacinamiento,160764,12.19,34.37,1319163,467718
10,Imbabura,Capacidad economica,8527,6.03,19.37,141502,44026
10,Imbabura,Acceso a educacion basica,1085,0.77,2.46,141502,44026
10,Imbabura,Acceso a vivienda,9527,6.73,21.64,141502,44026
10,Imbabura,Acceso a servicios basicos,34354,24.28,78.03,141502,44026
10,Imbabura,Hacinamiento,8855,6.26,20.11,141502,44026
11,Loja,Capacidad economica,4995,3.36,8.84,148762,56526
11,Loja,Acceso a educacion basica,973,0.65,1.72,148762,56526
11,Loja,Acceso a vivienda,20171,13.56,35.68,148762,56526
11,Loja,Acceso a servicios basicos,45848,30.82,81.11,148762,56526
11,Loja,Hacinamiento,12681,8.52,22.43,148762,56526
12,Los Rios,Capacidad economica,17375,6.16,10.4,282171,167086
12,Los Rios,Acceso a educacion basica,5528,1.96,3.31,282171,167086
12,Los Rios,Acceso a vivienda,28485,10.09,17.05,282171,167086
12,Los Rios,Acceso a servicios basicos,144774,51.31,86.65,282171,167086
12,Los Rios,Hacinamiento,34206,12.12,20.47,282171,167086
13,Manabi,Capacidad economica,31572,6.52,10.97,484455,287836
13,Manabi,Acceso a educacion basica,4937,1.02,1.72,484455,287836
13,Manabi,Acceso a vivienda,83968,17.33,29.17,484455,287836
13,Manabi,Acceso a servicios basicos,256347,52.91,89.06,484455,287836
13,Manabi,Hacinamiento,47718,9.85,16.58,484455,287836
14,Morona Santiago,Capacidad economica,3580,6.83,11.72,52453,30558
14,Morona Santiago,Acceso a educacion basica,1188,2.26,3.89,52453,30558
14,Morona Santiago,Acceso a vivienda,2529,4.82,8.28,52453,30558
14,Morona Santiago,Acceso a servicios basicos,28356,54.06,92.79,52453,30558
14,Morona Santiago,Hacinamiento,8085,15.41,26.46,52453,30558
15,Napo,Capacidad economica,1023,2.87,5.22,35615,19589
15,Napo,Acceso a educacion basica,336,0.94,1.72,35615,19589
15,Napo,Acceso a vivienda,483,1.36,2.47,35615,19589
15,Napo,Acceso a servicios basicos,18013,50.58,91.95,35615,19589
15,Napo,Hacinamiento,4735,13.29,24.17,35615,19589
16,Pastaza,Capacidad economica,1011,3.22,7.01,31383,14427
16,Pastaza,Acceso a educacion basica,400,1.27,2.77,31383,14427
16,Pastaza,Acceso a vivienda,1222,3.89,8.47,31383,14427
16,Pastaza,Acceso a servicios basicos,13137,41.86,91.06,31383,14427
16,Pastaza,Hacinamiento,3852,12.27,26.7,31383,14427
17,Pichincha,Capacidad economica,18931,1.9,13.73,994599,137877
17,Pichincha,Acceso a educacion basica,12365,1.24,8.97,994599,137877
17,Pichincha,Acceso a vivienda,11296,1.14,8.19,994599,137877
17,Pichincha,Acceso a servicios basicos,84120,8.46,61.01,994599,137877
17,Pichincha,Hacinamiento,35721,3.59,25.91,994599,137877
18,Tungurahua,Capacidad economica,5643,3.2,10.14,176227,55648
18,Tungurahua,Acceso a educacion basica,839,0.48,1.51,176227,55648
18,Tungurahua,Acceso a vivienda,9978,5.66,17.93,176227,55648
18,Tungurahua,Acceso a servicios basicos,48105,27.3,86.45,176227,55648
18,Tungurahua,Hacinamiento,8082,4.59,14.52,176227,55648
19,Zamora Chinchipe,Capacidad economica,1040,3.16,6.73,32872,15449
19,Zamora Chinchipe,Acceso a educacion basica,408,1.24,2.64,32872,15449
19,Zamora Chinchipe,Acceso a vivienda,619,1.88,4.01,32872,15449
19,Zamora Chinchipe,Acceso a servicios basicos,13522,41.14,87.53,32872,15449
19,Zamora Chinchipe,Hacinamiento,3151,9.59,20.4,32872,15449
20,Galapagos,Capacidad economica,50,0.51,1.84,9718,2713
20,Galapagos,Acceso a educacion basica,39,0.4,1.44,9718,2713
20,Galapagos,Acceso a vivienda,63,0.65,2.32,9718,2713
20,Galapagos,Acceso a servicios basicos,2195,22.59,80.91,9718,2713
20,Galapagos,Hacinamiento,584,6.01,21.53,9718,2713
21,Sucumbios,Capacidad economica,2612,4.42,7.99,59083,32695
21,Sucumbios,Acceso a educacion basica,735,1.24,2.25,59083,32695
21,Sucumbios,Acceso a vivienda,690,1.17,2.11,59083,32695
21,Sucumbios,Acceso a servicios basicos,29198,49.42,89.3,59083,32695
21,Sucumbios,Hacinamiento,5993,10.14,18.33,59083,32695
22,Orellana,Capacidad economica,1800,3.54,5.58,50843,32259
22,Orellana,Acceso a educacion basica,658,1.29,2.04,50843,32259
22,Orellana,Acceso a vivienda,753,1.48,2.33,50843,32259
22,Orellana,Acceso a servicios basicos,29969,58.94,92.9,50843,32259
22,Orellana,Hacinamiento,7377,14.51,22.87,50843,32259
23,Santo Domingo de los Tsachilas,Capacidad economica,7105,4.64,10.68,153289,66536
23,Santo Domingo de los Tsachilas,Acceso a educacion basica,3483,2.27,5.23,153289,66536
23,Santo Domingo de los Tsachilas,Acceso a vivienda,3965,2.59,5.96,153289,66536
23,Santo Domingo de los Tsachilas,Acceso a servicios basicos,55159,35.98,82.9,153289,66536
23,Santo Domingo de los Tsachilas,Hacinamiento,12415,8.1,18.66,153289,66536
24,Santa Elena,Capacidad economica,4005,3.78,8.55,105932,46837
24,Santa Elena,Acceso a educacion basica,1107,1.05,2.36,105932,46837
24,Santa Elena,Acceso a vivienda,18494,17.46,39.49,105932,46837
24,Santa Elena,Acceso a servicios basicos,29322,27.68,62.6,105932,46837
24,Santa Elena,Hacinamiento,18661,17.62,39.84,105932,46837
